"","SYMBOL","GENEID"
"695","ZAP70","ENSG00000115085"
"696","LRRC49","ENSG00000137821"
"697","PLK2","ENSG00000145632"
"698","SLC35G1","ENSG00000176273"
"699","IGSF3","ENSG00000143061"
"700","CD8B","ENSG00000172116"
"701","TBC1D4","ENSG00000136111"
"702","MGAT3","ENSG00000128268"
"703","CHRNA1","ENSG00000138435"
"704","PPP1R14A","ENSG00000167641"
"705","MLLT3","ENSG00000171843"
"706","GZMB","ENSG00000100453"
"707","CCNA1","ENSG00000133101"
"708","EREG","ENSG00000124882"
"709","DUSP8","ENSG00000184545"
"710","MAP10","ENSG00000212916"
"711","APOBEC3A","ENSG00000128383"
"712","DUOX2","ENSG00000140279"
"713","DNAJB1","ENSG00000132002"
"714","EBF4","ENSG00000088881"
"715","CTIF","ENSG00000134030"
"716","MYO7B","ENSG00000169994"
"717","CCDC68","ENSG00000166510"
"718","MOXD1","ENSG00000079931"
"719","TRERF1","ENSG00000124496"
"720","CLDN7","ENSG00000181885"
"721","STX1B","ENSG00000099365"
"722","TMPRSS11E","ENSG00000087128"
"723","SIRPB1","ENSG00000101307"
"724","CD300LB","ENSG00000178789"
"725","CXorf67","ENSG00000187690"
"726","NUGGC","ENSG00000189233"
"727","IL32","ENSG00000008517"
"728","RNF17","ENSG00000132972"
"729","STAT4","ENSG00000138378"
"730","ZNF112","ENSG00000062370"
"731","AATK","ENSG00000181409"
"732","NPDC1","ENSG00000107281"
"733","SLC52A1","ENSG00000132517"
"734","FRMD5","ENSG00000171877"
"735","RNF212","ENSG00000178222"
"736","EHHADH","ENSG00000113790"
"737","CYP46A1","ENSG00000036530"
"738","TEAD1","ENSG00000187079"
"739","KIF5A","ENSG00000155980"
